,,
,,
1,350.97,
2,356.1,
3,355.07,
4,350.31,
5,353.27,
6,352.14,
7,336.73,
8,318.19,
9,317.69,
10,317.62,
11,325.69,
12,326.93,
13,332.52,
14,336.95,
15,327.58,
16,319.31,
17,328.08,
18,314.44,
19,317.5,
20,314.49,
21,313.08,
22,317.39,
23,315.69,
24,316.14,
25,302.32,
26,270.93,
27,276.8,
28,276.8,
29,276.8,
30,276.8,
31,276.8,
32,278.0,
33,272.25,
34,270.0,
35,230.88,
36,176.5,
37,218.11,
38,205.34,
39,197.12,
40,211.18,
41,212.38,
42,212.99,
43,215.19,
44,233.9,
45,233.03,
46,244.63,
47,247.11,
48,271.47,
49,266.02,
50,249.25,
51,233.18,
52,230.11,
53,229.69,
54,220.71,
55,223.0,
56,236.5,
57,222.56,
58,217.37,
59,220.46,
60,225.15,
61,223.5,
62,220.38,
63,220.15,
64,221.99,
65,221.83,
66,239.93,
67,245.31,
68,243.99,
69,235.86,
70,244.0,
71,234.87,
72,241.59,
73,243.56,
74,245.65,
75,236.0,
76,237.09,
77,240.09,
78,238.59,
79,237.5,
80,254.0,
81,252.97,
82,247.56,
83,263.81,
84,275.8,
85,281.64,
86,265.62,
87,272.12,
88,275.82,
89,273.87,
90,287.48,
91,294.06,
92,293.29,
93,297.38,
94,289.5,
95,284.2,
96,283.56,
97,290.87,
98,287.01,
99,265.85,
100,260.62,
101,259.8,
102,257.82,
103,260.5,
104,266.06,
105,247.83,
106,245.68,
107,251.97,
108,248.62,
109,251.52,
110,244.05,
111,245.18,
112,242.91,
113,242.69,
114,252.43,
115,254.38,
116,253.77,
117,257.02,
118,254.69,
119,255.47,
120,245.88,
121,244.97,
122,235.71,
123,236.69,
124,236.75,
125,225.99,
126,216.0,
127,218.96,
128,229.62,
129,222.66,
130,222.31,
131,225.71,
132,224.62,
133,224.87,
134,237.34,
135,235.47,
136,230.93,
137,228.59,
138,218.41,
139,222.59,
140,222.65,
141,225.68,
142,235.12,
143,233.43,
144,234.12,
145,240.5,
146,236.16,
147,234.65,
148,235.78,
149,233.99,
150,244.71,
151,241.08,
152,239.34,
153,244.18,
154,241.5,
155,242.71,
156,238.31,
157,237.59,
158,236.62,
159,235.78,
160,236.44,
161,232.03,
162,234.59,
163,236.0,
164,240.5,
165,238.77,
166,240.46,
167,235.65,
168,235.93,
169,235.0,
170,236.47,
171,235.87,
172,231.12,
173,231.94,
174,222.4,
175,224.83,
176,226.28,
177,225.53,
178,224.15,
179,224.49,
180,222.59,
181,228.0,
182,230.09,
183,228.0,
184,229.0,
185,229.97,
186,230.21,
187,232.05,
188,236.46,
189,245.34,
190,249.96,
191,248.25,
192,246.44,
193,244.08,
194,242.46,
195,246.34,
196,243.91,
197,240.63,
198,241.91,
199,241.18,
200,248.5,
201,248.75,
202,253.8,
203,262.52,
204,257.85,
205,255.06,
206,255.09,
207,257.92,
208,270.92,
209,273.37,
210,267.25,
211,269.68,
212,270.68,
213,286.98,
214,293.5,
215,309.3,
216,289.89,
217,292.87,
218,290.94,
219,275.75,
220,277.99,
221,278.07,
222,276.08,
223,278.25,
224,278.97,
225,277.54,
226,276.63,
227,287.3,
228,287.12,
229,292.32,
230,290.79,
231,295.24,
232,290.69,
233,287.56,
234,284.77,
235,280.72,
236,280.68,
237,284.38,
238,285.0,
239,282.68,
240,277.1,
241,279.38,
242,269.88,
243,265.42,
244,264.06,
245,265.85,
246,267.88,
247,265.97,
248,266.99,
249,265.41,
250,257.47,
251,257.44,
252,253.9,
253,233.28,
254,233.22,
255,233.59,
256,226.03,
257,228.68,
258,213.24,
259,222.02,
260,228.84,
261,228.27,
262,234.16,
263,228.21,
264,226.46,
265,230.93,
266,228.31,
267,230.68,
268,227.41,
269,230.8,
270,234.66,
271,240.19,
272,241.31,
273,243.08,
274,240.08,
275,239.68,
276,239.93,
277,235.12,
278,229.86,
279,230.87,
280,230.0,
281,227.86,
282,234.0,
283,232.99,
284,230.71,
285,230.19,
286,226.56,
287,229.43,
288,229.94,
289,233.9,
290,235.78,
291,233.75,
292,232.84,
293,238.93,
294,237.68,
295,237.9,
296,238.97,
297,237.78,
298,239.16,
299,239.46,
300,239.21,
301,246.66,
302,245.25,
303,243.9,
304,244.78,
305,245.78,
306,248.08,
307,246.62,
308,249.58,
309,254.59,
310,254.72,
311,262.31,
